item_id,item_name,category,price_gold,sold_at_189_start,provinces
0,短剣,剣 sword,50,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
1,飛剣,剣 sword,70,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
2,長剣,剣 sword,120,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
3,破斬剣,剣 sword,180,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
4,大剣,剣 sword,250,yes,4 8 12 20 25 26 29
5,(weapon id 5),剣 sword (unused),,no (unpriced),
6,(weapon id 6),剣 sword (unused),,no (unpriced),
7,(weapon id 7),剣 sword (unused),,no (unpriced),
8,薤刀,刀 blade,60,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
9,眉尖刀,刀 blade,100,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
10,三尖刀,刀 blade,150,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
11,鉤鐮刀,刀 blade,200,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29
12,偃月刀,刀 blade,240,yes,4 8 12 20 25 26 29
13,鳳嘴刀,刀 blade,260,yes,4 8 12 20 25 26 29
14,(unused blade),刀 blade (hidden),,no (unpriced),
15,(hidden blade),刀 blade (hidden),400,yes,15
16,矛,槍 spear,80,yes,0 1 2 3 5 6 7 9 10 11 13 14 16 17 18 19 21 22 23 24 27 28
17,双戟,槍 spear,100,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
18,単鉤槍,槍 spear,120,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
19,戦斧,槍 spear,200,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
20,双鉤槍,槍 spear,250,yes,4 8 12 15 20 25 26 29
21,方天画戟,槍 spear,300,yes,4 8 12 20 25 26 29
22,(hidden spear-class weapon),槍 spear (hidden),350,no (hidden item),
23,(hidden spear-class weapon),槍 spear (hidden),400,no (hidden item),
24,綸巾,防具 armor,50,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
25,籠手,防具 armor,80,yes,0 1 2 3 5 6 7 9 10 11 13 14 15 16 17 18 19 21 22 23 24 27 28
26,兜,防具 armor,100,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
27,硬皮,防具 armor,150,yes,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
28,鶴氅,防具 armor,200,yes,4 8 12 20 25 26 29
29,甲冑,防具 armor,250,yes,4 8 12 20 25 26 29
30,(hidden armor),防具 armor (hidden),350,no (hidden item),
31,(hidden armor),防具 armor (hidden),400,no (hidden item),
